feature	importance
mean_intensity	0.23725752170070036
mean_nucleus_perimeter	0.12798531219083126
mean_g	0.12281986596320683
std_r	0.10318483111654403
std_g	0.05551279992469936
std_intensity	0.040166992714627786
nuclei_count	0.03549682883243327
nuclei_density	0.035403179377912014
mean_nucleus_area	0.03486010266085043
edge_density	0.03329177212116788
mean_b	0.029240287539613642
entropy	0.02907924212607334
mean_r	0.025149755079368705
mean_nucleus_solidity	0.024456018497514966
std_b	0.02181062968520432
std_nucleus_area	0.015596582484075569
mean_nucleus_eccentricity	0.014325175669009102
nuclear_area_fraction	0.009349660037721436
median_nucleus_area	0.005013442278445699
