feature	importance
mean_g	0.12097088413335592
mean_intensity	0.11846072502109808
mean_r	0.1044428878968091
nuclei_count	0.09450468812338696
nuclei_density	0.08545802740242425
nuclear_area_fraction	0.08251442251247361
std_r	0.06058796290935435
std_nucleus_area	0.05223067556116878
mean_b	0.05081795720802432
std_g	0.05066005849232828
entropy	0.04198075128843921
std_intensity	0.03299207278533816
mean_nucleus_perimeter	0.03278787728716508
std_b	0.026838942279010257
mean_nucleus_area	0.022360592493682916
mean_nucleus_solidity	0.008651157232855101
mean_nucleus_eccentricity	0.00696227612404944
median_nucleus_area	0.006079057263784117
edge_density	0.0006989839852520959
